,Unnamed: 0,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Pied droit
918,75306,"S. Esquivel, Santiago David Esquivel",20,52,63,2026,75347,170,62,,RM,,170000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
919,75314,"O. Nazarenko, Oleksandr NazarenkoНазаренко Олександр Євгенійович",24,73,68,Unknown,75355,177,60,,LM,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
920,75327,"R. Kadzere, Rose Kadzere",18,63,71,2025,75368,165,60,,RM,,10000,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
921,75330,"T. Kurzka, Timo Kurzka",16,56,73,2025,75371,187,78,,GK,,325000,950,,,12.0,6.0,14.0,29.0,7.0,,7.0,10.0,11.0,19.0,10.0,,18.0,29.0,28.0,35.0,38.0,,44.0,40.0,25.0,46.0,6.0,,21.0,6.0,5.0,24.0,18.0,37.0,,8.0,10.0,11.0,,57.0,55.0,59.0,58.0,60.0,,,,,,,,,1
922,75331,"Iraia Yerobi, Iraia Yerobi",19,55,64,2025,75372,165,55,,CM,,10000,500,,,39.0,37.0,45.0,64.0,33.0,,49.0,34.0,34.0,57.0,59.0,,64.0,67.0,57.0,52.0,57.0,,48.0,50.0,60.0,54.0,42.0,,54.0,47.0,46.0,54.0,37.0,39.0,,38.0,48.0,43.0,,5.0,12.0,11.0,12.0,8.0,,,,,,,,,0
923,75351,"Lucía Rivas, Lucía Rivas Moure",16,61,83,2027,75392,165,53,,CAM,,15000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
924,75360,"A. Al Rawi, Ahmed Husham Ali Al-Rawiأحمد الراوي",20,60,75,Unknown,75401,184,72,,CF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
925,75362,"A. Al Yazidi, Abdulla Badr Abdrab Abdulla Al-Yazidiعبدالله اليزيدي",22,63,73,Unknown,75403,176,69,,RB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
926,75363,"Martina Rivas, Martina Rivas Soto",18,63,74,2025,75404,170,64,,GK,,10000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
927,75397,"Enric García, Enric García Hurtado",18,57,77,2027,75438,175,66,,CAM,,450000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
928,75435,"M. Schmitz, Marwin Reiner Ian Schmitz",17,58,74,2026,75476,180,70,,CDM,,475000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
929,75443,"O. Rose, Oliver Rose",18,51,71,2026,75484,185,75,,CB,,150000,5000,,,27.0,25.0,49.0,45.0,27.0,,40.0,25.0,25.0,39.0,47.0,,52.0,59.0,48.0,51.0,51.0,,32.0,53.0,52.0,62.0,23.0,,54.0,52.0,28.0,37.0,28.0,43.0,,50.0,49.0,50.0,,13.0,5.0,11.0,9.0,7.0,,,,,,,,,1
930,75449,"E. Qaysi, Emad Qaysi",17,51,66,2027,75490,172,65,,RM,,130000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
931,75451,"A. Bravo Sanchez, Adrian Bravo Sanchez",30,58,58,2025,75492,178,70,,CAM,,190000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
932,75453,"O. Diallo, Ousmane Diallo Thiao",17,57,80,2026,75494,181,70,,RM,,525000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
933,75454,"A. Basse, Adam Basse",16,54,71,2026,75495,196,94,,CF,,300000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
934,75460,"S. Hamzic, Salko Hamzić",17,53,74,2027,75501,190,80,,GK,,275000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
935,75461,"P. Ba, Papa Dame Ba",19,62,76,2026,75502,180,75,,LM,,950000,12000,,,60.0,58.0,42.0,62.0,44.0,,62.0,52.0,33.0,49.0,62.0,,76.0,75.0,75.0,59.0,75.0,,55.0,46.0,53.0,41.0,52.0,,32.0,21.0,59.0,56.0,50.0,53.0,,22.0,24.0,21.0,,10.0,9.0,7.0,5.0,8.0,,,,,,,,,0
936,75471,"B. Dunbar, Benjamin Dunbar",18,52,69,2025,75512,168,65,,RM,,200000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
937,75479,"T. Özmert, Taha Osman Özmert",18,53,73,2027,75520,178,75,,RM,,250000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
938,75486,"M. Strods, Markuss Strods",17,49,59,2024,75527,175,71,,RM,,100000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
939,75488,"A. Vergaz, Alejandro Vergaz Lozano",18,58,78,2029,75529,185,80,,CB,,525000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
940,75532,"A. Vasović, Andrej Vasović",16,58,75,2027,75573,186,76,,CF,,500000,5000,,,29.0,66.0,57.0,50.0,57.0,,50.0,36.0,36.0,31.0,60.0,,61.0,58.0,58.0,50.0,66.0,,63.0,54.0,52.0,49.0,60.0,,31.0,17.0,55.0,51.0,68.0,48.0,,17.0,14.0,11.0,,14.0,9.0,5.0,8.0,8.0,,,,,,,,,1
941,75564,"Asencio, Raúl Asencio del Rosario",21,67,79,2026,75605,184,79,,CB,,2400000,54000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
942,75567,"Y. Lozada, Yhonnier Lozada",18,57,69,2027,75608,177,71,,CB,,350000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
943,75569,"A. Foa Sam, Amoah Foah-Sam",21,56,64,2025,75610,184,75,,CB,,300000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
944,75591,"Diego Díaz, Diego Díaz Cacho",19,57,69,2026,75632,173,66,,CAM,,400000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
945,75617,"A. Maamar, Ali Maamar",19,54,64,2028,75658,182,75,,RB,,220000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
946,75627,"E. Fischerström, Elton Sakarias Fischerström Opančar",17,54,76,2029,75668,185,78,,GK,,300000,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
947,75639,"D. Owusu, Denzel Owusu",21,61,73,2026,75680,177,64,,CB,,750000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
948,75649,"D. Konadu, Don-Angelo Christoffel Annum-Assamoah Konadu",18,60,80,2028,75690,173,58,,CF,,675000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
949,75676,"L. Halttunen, Lilli Halttunen",19,64,75,Unknown,75717,172,60,,CF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
950,75691,"D. Salz, Dominik Pascal Salz",36,54,54,2027,75732,189,76,,CF,,35000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
951,75699,"E. Yalcin, Erkin Yalcin",20,55,64,2027,75740,182,72,,CF,,275000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
952,75716,"E. Staugaard, Emil Coster Joost Staugaard",22,59,65,2025,75757,192,84,,CB,,325000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
953,75749,"R. Niklasson Petrovic, Rasmus Niklasson Petrovic",21,56,65,2028,75790,180,72,,RM,,325000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
954,75768,"J. Žufánková, Jana Žufánková",21,56,65,2027,75809,172,60,,CF,,10000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
955,75791,"J. Dias, Jovial Dias",21,49,58,2027,75832,176,62,,CF,,110000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
956,75794,"Leonardo Oliveira, Leonardo Daniel de Oliveira",19,59,74,2025,75835,187,80,,CF,,550000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
957,75795,"Valentim Sousa, Valentim Ferreira de Sousa",19,57,71,2027,75836,174,62,,CF,,400000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
958,75797,"D. van der Werff, David van der Werff",19,56,67,2026,75838,183,75,,CAM,,300000,4000,,,51.0,45.0,43.0,65.0,50.0,,62.0,55.0,57.0,68.0,59.0,,61.0,59.0,60.0,54.0,65.0,,61.0,41.0,50.0,45.0,49.0,,41.0,31.0,43.0,58.0,54.0,57.0,,45.0,40.0,50.0,,7.0,9.0,6.0,11.0,9.0,,,,,,,,,1
959,75818,"O. Jeż, Oskar Jeż",17,51,63,2025,75859,186,80,,GK,,120000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
960,75825,"M. Blé, Maxime Blé",21,60,68,2027,75866,177,73,,CF,,550000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
961,75855,"J. Rodríguez, Juan Sebastián Rodríguez López",18,55,63,2028,75896,175,66,,CDM,,250000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
962,75908,"D. Ajvazi, Dion Ajvazi",20,57,68,2025,75949,181,70,,CAM,,350000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
963,75911,"F. Bock, Fiete Bock",16,55,67,2027,75952,178,70,,RM,,300000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
964,75969,"D. Degirmenler, Derin Degirmenler",17,59,74,2027,76010,168,59,,CAM,,15000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
965,75993,"B. Nguene, Bernard Nguene",17,60,77,2027,76034,178,72,,CF,,625000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
966,76002,"Álvaro Pascual, Álvaro García Pascual",22,58,67,2025,76043,190,78,,CF,,450000,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
967,76005,"T. Schoppitsch, Tristan Elias Schoppitsch",17,56,73,2026,76046,173,62,,CAM,,350000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
968,76024,"S. Prüfrock, Silas Prüfrock",19,55,64,2025,76065,180,74,,GK,,240000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
969,76066,"E. Benkara, Elias Benkara",17,60,82,2026,76107,193,79,,CB,,725000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
970,76069,"L. Laatsch, Leonard Laatsch",18,53,70,2026,76110,183,70,,CM,,240000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
971,76071,"O. Petrenko, Oleksandr PetrenkoПетренко Олександр Владиславович",17,57,78,2026,76112,192,81,,GK,,475000,700,,,12.0,9.0,12.0,16.0,8.0,,8.0,13.0,12.0,19.0,13.0,,22.0,34.0,37.0,50.0,21.0,,39.0,53.0,17.0,66.0,5.0,,21.0,13.0,6.0,38.0,15.0,26.0,,12.0,12.0,10.0,,55.0,57.0,52.0,52.0,62.0,,,,,,,,,1
972,76086,"K. Licorish-Mullings, Kiantay Licorish-Mullings",17,53,71,2025,76127,180,72,,RB,,220000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
973,76126,"C. Bracco, Christian Bracco",20,50,63,2025,76167,183,75,,CAM,,110000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
974,76157,"D. Michel, Dieu-Merci Ndembo-Michel",20,66,76,2027,76198,191,80,,CF,,1200000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
975,76160,"E. Peddemors, Ella Peddemors",21,72,80,2027,76201,172,60,,CM,,40000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
976,76179,"M. Justus, Mia Justus",21,70,77,2027,76220,175,66,,GK,,20000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
977,76182,"O. Oseni, Owen Eric Damilola Oseni",21,57,68,2028,76223,179,72,,CF,,375000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
978,76184,"G. Tunguliadi, Georgiy TunguliadiТунгулияди Георгий Христофорович",19,61,74,2025,76225,185,80,,CB,,725000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
979,76191,"A. Hussein, Al-Hashmi Al-Hussain Mohialdin",20,55,69,Unknown,76232,184,77,,CB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
980,76199,"Diego Rodrigues, Diego Henrique Oliveira Rodrigues",19,62,79,2027,76240,185,72,,CAM,,1000000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
981,76207,"M. Ghossaini, Michael Ghossaini",16,50,74,2027,76248,170,63,,CF,,150000,5000,,,35.0,50.0,44.0,43.0,46.0,,57.0,48.0,31.0,35.0,46.0,,64.0,59.0,51.0,55.0,70.0,,55.0,40.0,54.0,45.0,44.0,,34.0,18.0,43.0,48.0,65.0,41.0,,17.0,19.0,15.0,,13.0,15.0,12.0,11.0,5.0,,,,,,,,,1
982,76215,"A. Mohiuddin, Ali Hammad Aftab Mohiuddin",19,52,62,2025,76256,183,79,,RM,,160000,8000,,,42.0,35.0,46.0,53.0,29.0,,52.0,42.0,39.0,52.0,51.0,,66.0,65.0,65.0,50.0,68.0,,47.0,56.0,56.0,60.0,40.0,,49.0,49.0,42.0,51.0,38.0,49.0,,47.0,50.0,45.0,,11.0,12.0,14.0,10.0,11.0,,,,,,,,,1
983,76218,"S. Juncaj, Steven George Juncaj",26,62,63,2026,76259,188,74,,LM,,475000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
984,76242,"E. Gaines-Ramos, Emma Gaines-Ramos",22,64,67,2027,76283,170,63,,CF,,9000,6000,,,37.0,63.0,62.0,64.0,58.0,,66.0,57.0,42.0,44.0,68.0,,67.0,70.0,65.0,60.0,59.0,,62.0,66.0,57.0,58.0,60.0,,56.0,36.0,66.0,58.0,56.0,61.0,,22.0,36.0,24.0,,7.0,13.0,12.0,5.0,13.0,,,,,,,,,1
985,76243,"A. Moussounda, Alex Yowan Kevin Moucketou Moussounda",23,64,68,2027,76284,184,75,,CB,,750000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
986,76245,"Climent, Mario Climent Plá",22,64,72,2028,76286,179,64,,LB,,1300000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
987,76246,"F. Nsolo, Burinyuy Fuhna Wirsiy Nsolo",19,58,73,2027,76287,180,80,,CB,,450000,6000,,,48.0,50.0,60.0,60.0,43.0,,54.0,47.0,41.0,65.0,60.0,,66.0,66.0,59.0,52.0,67.0,,61.0,69.0,48.0,68.0,41.0,,52.0,50.0,48.0,52.0,47.0,55.0,,51.0,65.0,57.0,,8.0,9.0,9.0,14.0,12.0,,,,,,,,,1
988,76252,"L. Ehrlich, Lucas Ehrlich",20,60,70,2026,76293,195,82,,CF,,550000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
989,76255,"M. Turay, Moses Turay",20,62,72,2025,76296,180,75,,LM,,875000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
990,76257,"Leandro Santos, Leandro Henrique de Sousa Santos",18,64,79,2028,76298,181,68,,RB,,1300000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
991,76265,"A. Hay, Ashley Hay",20,57,67,2025,76306,181,77,,CF,,375000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
992,76283,"M. Long, Mary Long",17,64,74,2025,76324,177,66,,CAM,,15000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
993,76285,"L. Reale, Lilly Reale",20,66,73,2027,76326,172,65,,CB,,15000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
994,76291,"M. Dahlien, Madeline Dahlien",19,66,74,2027,76332,175,66,,CF,,20000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
995,76343,"S. Tweh, Salomon Medaase Tweh",19,60,70,2027,76384,182,77,,CDM,,525000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
996,76351,"Cha Jun Young, Jun-young Cha차준영",20,51,63,2027,76392,188,80,,CB,,130000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
997,76353,"Lee Chang Woo, Chang Woo Lee",18,48,63,2027,76394,178,70,,RB,,100000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
998,76355,"A. Natali, Andrea Natali",16,58,83,2027,76396,186,77,,CB,,600000,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
999,76392,"R. Grant, Ruby Grant",22,71,79,2027,76433,163,54,,CDM,,30000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1000,76430,"Á. Halldórsdóttir, Ásdís Karen Halldórsdóttir",24,63,67,2027,76471,176,65,,CF,,9000,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1001,76438,"A. Delabre, Amélie Delabre",23,75,80,2027,76479,177,66,,CF,,50000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1002,76445,"T. Rossi, Tomás Daniel Rossi",25,66,71,2026,76486,187,83,,CB,,1100000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1003,76447,"M. Amarfil, Franco Maximiliano Amarfil",22,60,67,2025,76488,174,65,,CDM,,475000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1004,76460,"Pablo López, Pablo López Gómez",18,60,78,2027,76501,175,65,,RM,,625000,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1005,76468,"K. Dermane, Dermane Karim",20,68,80,2028,76509,166,67,,CDM,,2800000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1006,76471,"J. Novak, Jakob Novak",26,60,63,2027,76512,188,80,,CM,,325000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1007,76472,"J. Bonilla, Julián Andrés Bonilla Tovar",27,62,62,2028,76513,192,85,,CB,,375000,6000,,,35.0,28.0,67.0,50.0,28.0,,37.0,25.0,24.0,42.0,50.0,,56.0,57.0,49.0,55.0,42.0,,57.0,74.0,58.0,76.0,40.0,,65.0,62.0,28.0,33.0,30.0,50.0,,59.0,62.0,59.0,,9.0,11.0,14.0,12.0,12.0,,,,,,,,,0
1008,76473,"D. Cimpoeşu, Damian Emil Cimpoeșu",23,55,59,2027,76514,188,80,,CB,,160000,5000,,,38.0,20.0,56.0,47.0,27.0,,28.0,34.0,28.0,40.0,48.0,,50.0,53.0,47.0,42.0,57.0,,44.0,62.0,62.0,70.0,29.0,,58.0,55.0,22.0,33.0,35.0,44.0,,55.0,56.0,51.0,,14.0,11.0,7.0,7.0,10.0,,,,,,,,,1
1009,76476,"E. Hase, Ella Hase",21,64,70,2027,76517,165,62,,LB,,9000,2000,,,62.0,31.0,58.0,61.0,29.0,,52.0,40.0,34.0,54.0,64.0,,68.0,68.0,64.0,57.0,66.0,,56.0,53.0,64.0,43.0,52.0,,48.0,60.0,40.0,34.0,42.0,47.0,,59.0,64.0,59.0,,14.0,10.0,7.0,7.0,8.0,,,,,,,,,0
1010,76479,"E. El-Kathemi, Emir Akram El-Kathemi",17,55,75,2027,76520,179,72,,RB,,325000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1011,76480,"O. Cotton, Oskar Cotton",18,54,73,2027,76521,183,73,,CB,,250000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1012,76481,"S. Oppong, Sion Oppong",16,54,75,2027,76522,180,71,,RM,,350000,2000,,,48.0,51.0,44.0,50.0,44.0,,54.0,41.0,33.0,45.0,55.0,,76.0,74.0,64.0,48.0,67.0,,55.0,52.0,52.0,50.0,43.0,,46.0,16.0,48.0,52.0,50.0,56.0,,17.0,31.0,22.0,,13.0,9.0,8.0,10.0,6.0,,,,,,,,,1
1013,76495,"N. Telle, Neo Joshua Telle",19,59,75,2026,76536,184,75,,CB,,550000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1014,76519,"E. Gökçe, Erdem Gökçe",20,54,63,2027,76560,182,76,,RB,,230000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1015,76587,"S. Dey, Suman Dey",21,50,56,2027,76628,172,70,,RB,,70000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1016,76610,"M. Johansson, Molly Johansson",22,62,69,2027,76651,172,63,,CDM,,10000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1017,76647,"W. Hofvander, William Hofvander",22,57,62,2026,76688,185,76,,CF,,250000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1018,76672,"L. Rodriguez, Laureano Agustín Rodríguez Funes",21,61,70,2025,76713,183,72,,CDM,,700000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1019,76675,"J. Barbieri, Juan Barbieri",27,60,60,2026,76716,186,80,,CF,,275000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1020,76689,"J. Bourgault, Justin Bourgault",18,63,75,2029,76730,185,73,,LB,,1100000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1021,76692,"A. Abdullahi, Abbati Abdullahi",18,53,64,2028,76733,178,75,,CDM,,200000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1022,76700,"M. Arshaf, Mohammed Arshaf",20,51,61,2027,76741,176,70,,CAM,,130000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1023,76706,"E. Gürbüz, Eser Gürbüz",17,58,77,2028,76747,178,72,,RM,,500000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1024,76745,"A. Ndoye, Alioune Ndoye",22,64,72,2027,76786,191,85,,CF,,1300000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1025,76758,"T. Hill, Thomas Daniel Hill",21,58,66,2026,76799,190,84,,CM,,450000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1026,76811,"I. Kresche, Isabella Kresche",25,67,71,2025,76852,183,70,,GK,,15000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1027,76821,"J. Ndjeungoue, James Willy Ndjeungoue",21,65,75,2028,76862,186,80,,CB,,1500000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1028,76822,"K. Czubak, Karol Czubak",24,67,71,2027,76863,193,88,,CF,,1500000,9000,,,42.0,70.0,72.0,51.0,69.0,,63.0,48.0,45.0,28.0,68.0,,52.0,68.0,48.0,66.0,52.0,,71.0,77.0,61.0,77.0,57.0,,38.0,28.0,69.0,38.0,67.0,71.0,,17.0,22.0,21.0,,7.0,15.0,10.0,14.0,12.0,,,,,,,,,1
1029,76823,"A. Ševínský, Adam Ševínský",20,67,74,2027,76864,187,72,,CB,,1900000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
